===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,PercentileStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2022-03-23 00:00:00,150.5,157.0,150.5,153.8,7677577.0,,PercentileStrategy,1,738237.0,Broker,1,20000.0,20000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2022-03-24 00:00:00,152.8,156.8,148.6,150.0,4933775.0,,PercentileStrategy,2,738238.0,Broker,2,20000.0,20000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2022-03-25 00:00:00,147.3,148.4,140.1,142.0,6641754.0,,PercentileStrategy,3,738239.0,Broker,3,20000.0,20000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2022-03-28 00:00:00,142.0,146.3,138.1,142.5,4156387.0,,PercentileStrategy,4,738242.0,Broker,4,20000.0,20000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2022-03-29 00:00:00,145.5,147.5,144.4,146.0,2494391.0,,PercentileStrategy,5,738243.0,Broker,5,20000.0,20000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2022-03-30 00:00:00,144.6,146.2,142.2,146.2,3633186.0,,PercentileStrategy,6,738244.0,Broker,6,20000.0,20000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2022-03-31 00:00:00,141.0,141.9,138.6,141.5,5149946.0,,PercentileStrategy,7,738245.0,Broker,7,20000.0,20000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2022-04-01 00:00:00,130.5,135.2,129.0,135.2,8625797.0,,PercentileStrategy,8,738246.0,Broker,8,20000.0,20000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2022-04-04 00:00:00,141.2,146.8,140.7,145.7,5711370.0,,PercentileStrategy,9,738249.0,Broker,9,20000.0,20000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2022-04-06 00:00:00,142.8,144.9,141.5,142.6,4762511.0,,PercentileStrategy,10,738251.0,Broker,10,20000.0,20000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
